"# 文本key","文本value"
"neigong_name_190028","Millibeast Spell"
"neigong_name_190029","Dragonform"
"neigong_name_190031","Art of Five Senses"
"neigong_name_190032","Art of Soul Deprivation"
"neigong_name_190033","Art of Drunkness"
"neigong_name_190034","Art of Harmony"
"neigong_name_190035","Art of Marrow Refining"
"neigong_name_190036","Art of Hellish Breathing"
"neigong_name_190037","Golden Acupuncture"
"neigong_name_190038","Art of Shifting"
"neigong_name_190039","Anti-toxin Spell"
"neigong_name_190040","Mechanic"
"neigong_name_190041","Beastmaster"
"neigong_name_190042","Bionic Pentaform"
"neigong_name_190100","Turtle Preservation"
"neigong_name_190101","Blood Circulatio"
"neigong_name_190110","Demo Slayer Arhat"
"neigong_name_190111","Diamond Body"
"neigong_name_190112","Yi Jin Jing 「Brahma」"
"neigong_name_190120","Dragon Tiger Hunt"
"neigong_name_190121","Lotus in Heart"
"neigong_name_190130","Wu Dang Harmony"
"neigong_name_190131","Wu Dang Pure Yang"
"neigong_name_190132","Primordial Chaos"
"neigong_name_190140","Purple Seven Star"
"neigong_name_190141","Stars Divine"
"neigong_name_190150","Traceless Heart"
"neigong_name_190151","Purple Cloud Qi"
"neigong_name_190160","Body Guarding Qi"
"neigong_name_190161","True Method"
"neigong_name_190170","Insufficient power"
"neigong_name_190180","Yongye Killing Method"
"neigong_desc_collect","<JmTipGray>Gathering</>"
"neigong_desc_190000","<JmTipGray>Doubles Vigor recovery</>"
"neigong_desc_190000_collect","<JmTipGray>Way to acquire: Sleep</>"
"neigong_desc_190001","<JmTipGray>When you release 3 Palms,steals 1 Move</>"
"neigong_desc_190002","<JmTipGray>Fist can grant Lifesteal</>"
"neigong_desc_190003","<JmTipGray>When you release 3 Kicks,inflicts 2 stacks of Heat</>"
"neigong_desc_190004","<JmTipGray>When you release 3 Weapons,dodges 2 Moves</>"
"neigong_desc_190005","<JmTipGray>When you release 3 Concealed Weapons,inflicts 2 stacks of Poison Gas</>"
"neigong_desc_190006","<JmTipGray>Activates 5 Inner Kungfu effects in the Bionic series</>"
"neigong_desc_190007","<JmTipGray>When you draw a Move, the Move has a chance to inflict Cold.</>"
"neigong_desc_190007_collect","<JmTipGray>Way to acquire:Remain Cold state</> <JmTipWhite> above 30</> <JmTipGray>stacks</>"
"neigong_desc_190008","<JmTipGray>When you draw Moves,the Moves have a chance to inflict Poison Gas</>"
"neigong_desc_190009","<JmTipGray>When you draw a Move, the Move has a chance to inflict Heat.</>"
"neigong_desc_190009_collect","<JmTipGray>Way to acquire:Remain Heat state</> <JmTipWhite> above 30</> <JmTipGray>stacks</>"
"neigong_desc_190010","<JmTipGray>MSPD is not affected by Drunk. Immune to Pass Out Drunk.</>"
"neigong_desc_190010_collect","<JmTipGray>Way to acquire:Get drunk</>"
"neigong_desc_190011","<JmTipGray>Opponent’s any action has a chance to inflict Misfortune</>"
"neigong_desc_190012","<JmTipGray>When you get a Move,there is a chance to inflict Toxin Worm</>"
"neigong_desc_190013","<JmTipGray>In Cold state,you’ll take less DMG from opponent</>"
"neigong_desc_190014","<JmTipGray>Cold state enhanced</>"
"neigong_desc_190015","<JmTipGray>For each debuff opponent has,reduces the DMG taken</>"
"neigong_desc_190016","<JmTipGray>After a fight,cleanses</> <JmTipWhite>1</> <JmTipGray>stack of debuff</>"
"neigong_desc_190017","<JmTipGray>In a fight,when the Moves of both sides have a Drunk state,deals extra DMG based on the move’s original DMG</>"
"neigong_desc_190018","<JmTipGray>Drunk Moves are able to be connected,ignoring the connection rule </>"
"neigong_desc_190019","<JmTipGray>When Vigor is above</> <JmTipWhite>90%</> <JmTipGray>,more Moves are created in one turn</>"
"neigong_desc_190020","<JmTipGray>Heat effect enhanced 「Gear will be less durable」</>"
"neigong_desc_190021","<JmTipGray>Has a chance to ignore the DMG dealt by opponent’s Move</>"
"neigong_desc_190022","<JmTipWhite>Sudden Strike</> <JmTipGray>added to the battle options.</><JmTipGray> Escape from battle after one turn and increase DMG dealt in this battle</>"
"neigong_desc_190023","<JmTipGray>Randomly activates a Concealed Weapon Skill each turn</>"
"neigong_desc_190024","<JmTipGray>Max Chi +</> <JmTipWhite>20</>"
"neigong_desc_190025","<JmTipGray>Each turn in battle, convert</> <JmTipWhite>1</> <JmTipGray>Debuff into</> <JmTipWhite>5%</> <JmTipGray>Vigor</>"
"neigong_desc_190025_collect","<JmTipGray>Way to acquire:Remain Poison Gas state</> <JmTipGray>above</><JmTipWhite>30 stacks</>"
"neigong_desc_190026","<JmTipGray>Reduces Max 「Heat」 stacks by</> <JmTipWhite>5</>. <JmTipGray>Resists 「Burn」</>"
"neigong_desc_190026_collect","<JmTipGray>Way to acquire:Inflict Heat on opponent</>"
"neigong_desc_190027","<JmTipGray>Reduces Max 「Cold」 stacks by</> <JmTipWhite>5</>. <JmTipGray>Resists 「Frozen」</>"
"neigong_desc_190027_collect","<JmTipGray>Way to acquire:Inflict Cold on opponent</>"
"neigong_desc_190028","<JmTipGray>Able to tame animals</>"
"neigong_desc_190029","<JmTipGray>For every</> <JmTipWhite>1</> <JmTipGray>animal tamed,</> <JmTipWhite>+ 10</> <JmTipGray>Vigor,</> <JmTipWhite>+ 1</> <JmTipGray>DMG,</> <JmTipWhite>+ 20</> <JmTipGray>Load,</> <JmTipWhite>+ 2</> <JmTipGray>Chi</>"
"neigong_desc_190031","<JmTipGray>When Sneaking, Sensation</> <JmTipWhite>+ 1,000</>"
"neigong_desc_190031_collect","<JmTipGray>Way to acquire:Use Skill 「Hands of Theft」 in battle</>"
"neigong_desc_190032","<JmTipGray>For every</> <JmTipWhite>5</> <JmTipGray>times you take DMG, inflict</> <JmTipWhite>1</> <JmTipGray>stack of Misfortune on opponent</>"
"neigong_desc_190032_collect","<JmTipGray>Way to acquire:Use Skill 「Soultaker’s Song」 in battle</>"
"neigong_desc_190033","<JmTipGray>When you draw a Move, the Move has a chance to inflict Drunk</>"
"neigong_desc_190033_collect","<JmTipGray>How to acquire:Use Skill 「Wine-drinking Song」 in battle</>"
"neigong_desc_190034","<JmTipGray>Max Chi +</> <JmTipWhite>10</>"
"neigong_desc_190034_collect","<JmTipGray>Way to acquire:Swim</>"
"neigong_desc_190035","<JmTipGray>Hugely increases Vigor and Load</>"
"neigong_desc_190036","<JmTipGray>At the start of the turn, restore</> <JmTipWhite>10%</> <JmTipGray>Vigor if you have no more than</> <JmTipWhite>3</> <JmTipGray>undelivered Moves</>  "
"neigong_desc_190037","<JmTipGray>Connects Acupoints to cure the surrounding Ailments</>"
"neigong_desc_190038","<JmTipGray>For every</> <JmTipWhite>3</> <JmTipGray>times you take DMG, steal</> <JmTipWhite>1</> <JmTipGray>Move from opponent</>"
"neigong_desc_190039","<JmTipGray>Able to cure Toxin Worm Ailments in Meridians</>"
"neigong_desc_190040","<JmTipGray>Significantly increases Lockpicking SPD</>"
"neigong_desc_190041","<JmTipGray>For every type of animal tamed, draw one extra Move (Up to 3 Moves) at the start of the turn.</>"
"neigong_desc_190042","<JmTipGray>Bionic Skills have</> <JmTipWhite>- 1</> <JmTipGray>required Moves and</> <JmTipWhite>+ 20</> <JmTipGray>DMG</>"
"neigong_desc_190100","<JmTipGray>For every</> <JmTipWhite>1</> <JmTipGray>Move remaining after a fight, restore</> <JmTipWhite>2%</> <JmTipGray>Max Vigor</>"
"neigong_desc_190101","<JmTipGray>At the beginning of the battle, for every</> <JmTipWhite>100</> <JmTipGray>Current Qi and Blood，get</> <JmTipWhite>1</> <JmTipGray>storey「spike」</>"
"neigong_desc_190110","<JmTipGray>Increases DMG of Sun Skills by</> <JmTipWhite>50%</>"
"neigong_desc_190110_collect","<JmTipGray>Training</>"
"neigong_desc_190111","<JmTipGray>Obtained at the beginning of the battle</> <JmTipWhite>10</> <JmTipGray>storey「Golden Bell Shield」</>"
"neigong_desc_190112","<JmTipGray>Doubles Chi. Removes</> <JmTipWhite>1</> <JmTipGray>Normal Ailment every</> <JmTipWhite>10</> <JmTipGray>sec.</>"
"neigong_desc_190120","<JmTipGray>For every additional enemy hit by an AoE Skill, increases DMG by</> <JmTipWhite>10%</>"
"neigong_desc_190121","<JmTipGray>Increases money begged, with chance to get extra items.</>"
"neigong_desc_190130","<JmTipGray>Draws</> <JmTipWhite>3</> <JmTipGray>less Moves per turn. Move DMG +</> <JmTipWhite>10</>"
"neigong_desc_190131","<JmTipGray>decrease</> <JmTipWhite>25%</> <JmTipGray>Internal force dissipation，Battle in Progress，At the beginning of each turn，Additional layer「antishock」</>"
"neigong_desc_190132","<JmTipGray>No activation requisite. Increases Health and Acupoints.</>"
"neigong_desc_190140","<JmTipGray>At the start of battle, gain</> <JmTipWhite>1</> <JmTipGray>stack of [Star Transfers] or [Flower Transposition]</>"
"neigong_desc_190141","<JmTipGray>Switches Ailments with target externally</>"
"neigong_desc_190150","<JmTipGray>At the start of each turn, gain</> <JmTipWhite>1</> <JmTipGray>Void Move</>"
"neigong_desc_190151","<JmTipGray>Increases Sword Skill DMG by</> <JmTipWhite>50%</> <JmTipGray>of Max Energy</>"
"neigong_desc_190160","<JmTipGray>Acquired at the beginning of the battle「Gang qi」，「Gang qi」The upper limit is replenished every turn。</>"
"neigong_desc_190161","<JmTipGray>In turn 1/3/5/7/9, activate your Kungfu in slots 1/2/3/4/5 in that order, ignoring requisites. Increases training progress of all your Kungfu by 20 every day. Reduces external Energy consumption by 99%. Immune to Ailments (including Hand and Leg Disabilities and Blind). Gain massive Vigor and Chi. When first activated, gain massive Health and expand Meridians. </>"
"neigong_desc_190170","<JmTipGray>The speed of movement during the day increases</> <JmTipWhite>20%</> <JmTipGray>，If there is a state of not all person, extraction is extracted every round in the battle</> <JmTipWhite>1</> <JmTipGray>Move style</>"
"neigong_desc_190180","<JmTipGray>In the state of sneak, an interaction with the target role has to interact with a new attack button to consume all internal forces, cause equivalent gas and blood damage to the target role, and the target qi and blood will syncope when it is cleared.,promote</> <JmTipWhite>3</> <JmTipGray>Xuanyin Zhenqi level</>"
"neigong_add_zhenqi_prop_136","<JmTipGray>, increases</> <JmTipGray>Chi of the Moon Lv. by</> <JmTipWhite>{0}</>"
"neigong_add_zhenqi_prop_137","<JmTipGray>, increases</> <JmTipGray>Chi of the Sun Lv. by</> <JmTipWhite>{0}</>"
"neigong_add_zhenqi_prop_138","<JmTipGray>, increases</> <JmTipGray>Chi of Venom Lv. by</> <JmTipWhite>{0}</>"
"neigong_add_zhenqi_prop_139","<JmTipGray>, increases</> <JmTipGray>Chi of Harmony Lv. by</> <JmTipWhite>{0}</>"
"Keyword_1","<TipGreen>「Oblivion」</> <TipGray>It’s good to forget sometimes! </>"
"Keyword_2","<TipGreen>「Poison Gas」</> <TipGray>When it takes effect,the target takes DMG</> <Red>equal to the current number of stacks.</> <TipGray>Inflicts 「Venom Ailment」 on meridians if triggered multiple times</>"
"Keyword_3","<TipGreen>「Heat」</> <TipGray>When it takes effect,the target takes DMG</> <Red>equal to the current number of stacks.</> <TipGray>Flammables 「Burn」 with</> <Red>10</> <TipGray>stacks of Heat</>"
"Keyword_4","<TipGreen>「Cold」</> <TipGray>Slows down Energy recovery and reduces the number of Moves per turn by</> <Red>{0}</> <TipGray>.</> <Red>15</> <TipGray>stacks of Cold may cause 「Frozen」</>"
"Keyword_5","<TipGreen>「Dysentery」</> <TipGray>Oh crap,I’ve got the runs...</>"
"Keyword_6","<TipGreen>「Drunk」</> <TipGray>Decreases MSPD. Each stack inflicts</> <Red>7.5%</> <TipGray>Flaw. Target 「Passes Out Drunk」 with</> <dmg>15</> <TipGray>stacks of Drunk</> "
"Keyword_7","<TipGreen>「Acupoint Block」</> <TipGray>Disables the target to use Skills</>"
"Keyword_8","<TipGreen>「Crit」</> <TipGray>Deals</> <Red>Double</> <TipGray>DMG</>"
"Keyword_9","<TipGreen>「Break」</> <TipGray>Has a chance to break opponent’s move.The move that has been successfully broken can’t deal DMG</>"
"Keyword_10","<TipGreen>「Regenerate Blood」</> <TipGray>Each stack restores</> <Red>10</> <TipGray>Vigor</>"
"Keyword_11","<TipGreen>「Revitalize」</> <TipGray>Increases</> <TipGray>Energy recovery by</> <Red>100%</>"
"Keyword_12","<TipGreen>「Misfortune」</> <TipGray>Each stack randomly inflicts</> <Red>1</> <TipGray>debuff</>"
"Keyword_13","<TipGreen>「Lampworm」</> <TipGray>Able to trace the parasitifer on the map 「owned Lampworm</> <Red>{0}</> <TipGray>」</>\\n<TipGreen>「Bloodworm」</> <TipGray>When it’s activated,steal </> <Red>1</> <TipGray>Vigor for the caster 「owned Bloodworm</> <Red>{1}</> <TipGray>」</>\\n<TipGreen>「Loveworm」</> <TipGray>The parasitifer will become intimate with the caster under any conditions,unable to have any negative attitudes toward the caster 「owned Loveworm</> <Red>{2}</> <TipGray>」</>\\n<TipGreen>「Deathworm」</> <TipGray>Detonates all the Toxin Worms in the parasitifer,dealing</> <Red>90</> <TipGray>DMG 「owned Deathworm</> <Red>{3}</> <TipGray>」</>"
"Keyword_14","Placeholder"
"Keyword_15","Placeholder"
"Keyword_16","<TipGreen>「Graft」</> <TipGray>You can now walk like a normal person! !! </>"
"Keyword_17","<TipGreen>「Palm Move」</> <TipGray>When it hits,deals</> <Red>{0}</> <TipGray>Vigor DMG to opponent</>"
"Keyword_18","<TipGreen>「Fist Move」</> <TipGray>When it hits,deals</> <Red>{0}</> <TipGray>Vigor DMG to opponent</>"
"Keyword_19","<TipGreen>「Kick Move」</> <TipGray>When it hits,deals</> <Red>{0}</> <TipGray>Vigor DMG to opponent</>"
"Keyword_20","<TipGreen>「Weapon Move」</> <TipGray>When it hits,deals</> <Red>{0}</> <TipGray>Vigor DMG to opponent</>"
"Keyword_21","<TipGreen>「Concealed Weapon Move」</> <TipGray>When it hits,deals</> <Red>{0}</> <TipGray>Vigor DMG to opponent</>"
"Keyword_22","<TipGreen>「Rest:Bed」</> <TipGray>When you have a rest,restores a small amount of Vigor constantly</>"
"Keyword_23","<TipGreen>「Bath:Spring」</> <TipGray>When you have a bath,restores Vigor constantly</>"
"Keyword_24","<TipGreen>「Brightsight」</> <TipGray>You can now see the world like a normal person! !! </>"
"Keyword_25","<TipGreen>「Valve:Inflate」</> <TipGray>Wow...so big...</>"
"Keyword_26","<TipGreen>「Valve: Deflate」</> <TipGray>Wow...so small...</>"
"Keyword_27","<TipGreen>「Soar」</> <TipGray>Acquired Qinggong Veteran! !! </>"
"Keyword_28","<TipGreen>「Wisdom」</> <TipGray>Significantly boosts Acquire SPD! !! </>"
"Keyword_29","Placeholder"
"Keyword_30","<TipGreen>「Ordeal Sigil」</> <TipGray>Takes effect on 23:00 - 01:00 everyday and inflicts 「Hysteria」 whose number is equal to</><Red> Misfortune stacks x3</>"
"Keyword_36","<TipGreen>「Spike」</> <TipGray>When dealt DMG, reflects DMG equal to Spike stack *</> <Red>3</><TipGray>.</>"
"Keyword_37","<TipGreen>「Golden Shield」</> <TipGray>Halves the DMG taken</>"
"Keyword_39","<TipGreen>「Cold-blooded」</> <TipGray>Whenever a Skill is used,increase your 「Hysteria」 by </><Red>10</><TipGray> times your positive relations</>"
"Keyword_40","<TipGreen>「Freezeproof」</> <TipGray>Immune to Frozen</>"
"Keyword_41","<TipGreen>「Fireproof」</> <TipGray>Immune to Burn</>"
"Keyword_42","<TipGreen>「Steadfast」</> <TipGray>Immune to Faint</>"
"Keyword_43","<TipGreen>「Might」</> <TipGray>Increase DMG dealt by all Moves by</> <Red>2</><TipGray></>"
"Keyword_44","<TipGreen>「Gale」</> <TipGray>Draw</> <Red>1</> <TipGray>extra Move each turn</>"
"Keyword_45","<TipGreen>「Vajra」</> <TipGray>Decreases DMG taken by</> <Red>10</>"
"Keyword_46","<TipGreen>「Source」</> <Red>「{0}」</>"
"Keyword_47","<TipGreen>「Lampworm」</> <TipGray>Able to trace the parasitifer on the map 「owned Lampworm</> <Red>{0}</> <TipGray>」</>"
"Keyword_48","<TipGreen>「Bloodworm」</> <TipGray>When it’s activated,extracts</> <Red>1</> <TipGray>Vigor for the caster 「owned Bloodworm</> <Red>{0}</> <TipGray>」</>"
"Keyword_49","<TipGreen>「Loveworm」</> <TipGray>The parasitifer will become intimate with the caster under any conditions,unable to have any negative attitudes toward the caster. 「owned Loveworm</> <Red>{0}</> <TipGray>」</>"
"Keyword_50","<TipGreen>[Monk]</> <TipGray>You are a monk now</>"
"Keyword_51","<TipGreen>「antishock」</> <TipGray>Effective at end of turn，Bring about</> <Red>20%</> <TipGray>Maximum internal force damage</>"
"Keyword_52","<TipGreen>「Shattered Spirits」</> <TipGray>Reduces</> <Red>10</> <TipGray>Max Spirits per stack, to a minimum of</> <Red>10</>"
"Keyword_53","<TipGreen>「The dear of the relative」</> <TipGray>Decrease per layer</> <Red>30%</> <TipGray>The maximum value of mood, minimum to</> <Red>10</>"
"Keyword_54","<TipGreen>「Dazes of beloved」</> <TipGray>Decrease per layer</> <Red>15%</> <TipGray>The maximum value of mood, minimum to</> <Red>10</>"
"Keyword_55","<TipGreen>「Better Friends Daily」</> <TipGray>Decrease per layer</> <Red>15%</> <TipGray>The maximum value of mood, minimum to</> <Red>10</>"
"Keyword_100","<TipGreen>「Loser’s Savior」</> <TipGray>The god of death can’t see you. You’re prevented from </> <Red>1</> <TipGray>defeat! </>"
"Keyword_101","<TipGreen>「Disabled:Leg」</> <TipGray>Unable to use Kick Moves. Can be cured at the Clinic. </>"
"Keyword_102","<TipGreen>「Imitation」</> <TipGray>Changes the Skill into the target Skill.The Move requirement will remain the same.</>"
"Keyword_103","<TipGreen>「Imitation」</> <TipGray>This is a Skill stolen from somewhere </>"
"Keyword_104","<TipGreen>「Disabled:Hand」</> <TipGray>Unable to use Fist or Palm Moves</>"
"Keyword_105","<TipGreen>「Disabled:Eye」</> <TipGray>Unable to use Concealed Weapon Moves</>"
"Keyword_106","<TipGreen>「Faint」</> <TipGray>I’m faint... can’t stand up...</>"
"Keyword_107","<TipGreen>「Faithful」</> <TipGray>Increases the success chance of Pray by</> <Red>10%</>"
"Keyword_108","<TipGreen>「Sword Tomb’s Trial」</> <TipGray>Each stack removes</> <Red>220</> <TipGray>Chi! If someone passes the trial...</>"
"Keyword_109","<TipGreen>「Prisoner」</> <TipGray>As a prisoner,you’re unable to get out of here…</>"
"Keyword_110","<TipGreen>「Prison Break」</> <TipGray>You got out of prison,but are still a prisoner...</>"
